index,non-gendered,gendered,corrected,was_gendered
903,"Üblicherweise positiv besetzte Figuren wie Polizisten, Richter oder andere Vertreter des Staates erscheinen oft zwiespältig: Sie sind nicht in der Lage, die Helden zu beschützen, oder stellen sogar eine Bedrohung für diese dar.
","Üblicherweise positiv besetzte Figuren wie Polizisten, Richter oder andere Vertreter des Staates erscheinen oft zwiespältig: Sie sind nicht in der Lage, die Helden zu beschützen, oder stellen sogar eine Bedrohung für diese dar.
","Üblicherweise positiv besetzte Figuren wie Polizisten, Richter oder andere Vertreter des Staates erscheinen oft zwiespältig: Sie sind nicht in der Lage, die Helden zu beschützen, oder stellen sogar eine Bedrohung für diese dar.
",False
904,"Polizisten verdrehen das Recht, sie handeln aus persönlichen Motiven, sie glauben dem ersten Anschein und schützen den tatsächlich Schuldigen aufgrund von dessen vordergründig tadellosem Erscheinen, sie sind tollpatschig oder arbeiten schlampig.
","Polizisten verdrehen das Recht, sie handeln aus persönlichen Motiven, sie glauben dem ersten Anschein und schützen den tatsächlich Schuldigen aufgrund von dessen vordergründig tadellosem Erscheinen, sie sind tollpatschig oder arbeiten schlampig.
","Polizisten verdrehen das Recht, sie handeln aus persönlichen Motiven, sie glauben dem ersten Anschein und schützen den tatsächlich Schuldigen aufgrund von dessen vordergründig tadellosem Erscheinen, sie sind tollpatschig oder arbeiten schlampig.
",False
905,"Dieses Rollenmuster durchzieht Hitchcocks gesamtes Werk, von Der Mieter (1927) bis Frenzy (1972).
","Dieses Rollenmuster durchzieht Hitchcocks gesamtes Werk, von Der Mieter (1927) bis Frenzy (1972).
","Dieses Rollenmuster durchzieht Hitchcocks gesamtes Werk, von der Mieter (1927) bis Frenzy (1972).
",False
906,"Darüber hinaus finden sich vereinzelt Geheimdienstmitarbeiter unter den Nebenfiguren, die sich als Gegner (das Ehepaar Drayton in Der Mann, der zuviel wußte, 1956) oder als Helfer offenbaren, wobei auch letztere Schwierigkeiten bringen können – beispielsweise der „General“ (Peter Lorre) in Geheimagent oder Leo G. Carroll als CIA-Mitarbeiter in Der unsichtbare Dritte.
","Darüber hinaus finden sich vereinzelt Geheimdienstmitarbeiter unter den Nebenfiguren, die sich als Gegner (das Ehepaar Drayton in Der Mann, der zuviel wußte, 1956) oder als Helfer offenbaren, wobei auch letztere Schwierigkeiten bringen können – beispielsweise der „General“ (Peter Lorre) in Geheimagent oder Leo G. Carroll als CIA-Mitarbeiter in Der unsichtbare Dritte.
","Darüber hinaus finden sich vereinzelt Geheimdienstmitarbeiter unter den Nebenfiguren, die sich als Gegner (das Ehepaar Drayton in der Mann, der zu viel wusste, 1956) oder als Helfer offenbaren, wobei auch letztere Schwierigkeiten bringen können – beispielsweise der „General“ (Peter Lorre) in Geheimagent oder Leo G. Carroll als CIA-Mitarbeiter in Der unsichtbare Dritte.
",False
907,"Indem die feste Trennlinie zwischen Gut und Böse verschwimmt, wird das Gefühl der Verunsicherung beim Zuschauer gesteigert.
","Indem die feste Trennlinie zwischen Gut und Böse verschwimmt, wird das Gefühl der Verunsicherung beim Zuschauer gesteigert.
","Indem die feste Trennlinie zwischen Gut und Böse verschwimmt, wird das Gefühl der Verunsicherung beim Zuschauer gesteigert.
",False
908,"Filme zu drehen, das bedeutet für mich zuerst und vor allem, eine Geschichte zu erzählen.
","Filme zu drehen, das bedeutet für mich zuerst und vor allem, eine Geschichte zu erzählen.
","Filme zu drehen, das bedeutet für mich zuerst und vor allem, eine Geschichte zu erzählen.
",False
909,"Diese Geschichte darf unwahrscheinlich, aber sie darf nie banal sein.
","Diese Geschichte darf unwahrscheinlich, aber sie darf nie banal sein.
","Diese Geschichte darf unwahrscheinlich, aber sie darf nie banal sein.
",False
910,"Sie sollte dramatisch und menschlich sein.
","Sie sollte dramatisch und menschlich sein.
","Sie sollte dramatisch und menschlich sein.
",False
911,"Das Drama ist ein Leben, aus dem man die langweiligen Momente herausgeschnitten hat.
","Das Drama ist ein Leben, aus dem man die langweiligen Momente herausgeschnitten hat.
","Das Drama ist ein Leben, aus dem man die langweiligen Momente herausgeschnitten hat.
",False
912,"etwa: „Für mich ist das Kino nicht ein Stück aus dem Leben, sondern ein Kinderspiel.“)
","etwa: „Für mich ist das Kino nicht ein Stück aus dem Leben, sondern ein Kinderspiel.“)
","Etwa: „Für mich ist das Kino nicht ein Stück aus dem Leben, sondern ein Kinderspiel.“)
",False
913,"Film war für ihn eine artifizielle Kunstform.
","Film war für ihn eine artifizielle Kunstform.
","Film war für ihn eine artifizielle Kunstform.
",False
914,"Nur einmal – in Der falsche Mann – wich er von diesem Grundsatz ab.
","Nur einmal – in Der falsche Mann – wich er von diesem Grundsatz ab.
","Nur einmal – in Der falsche Mann – wich er von diesem Grundsatz ab.
",False
915,"Aber auch hier liegt der Akzent auf jenen Elementen, die nicht dokumentarisch sind – etwa der subjektiven Perspektive des unschuldig Verdächtigten und seiner hilflosen Frau.
","Aber auch hier liegt der Akzent auf jenen Elementen, die nicht dokumentarisch sind – etwa der subjektiven Perspektive des unschuldig Verdächtigten und seiner hilflosen Frau.
","Aber auch hier liegt der Akzent auf jenen Elementen, die nicht dokumentarisch sind – etwa der subjektiven Perspektive des unschuldig Verdächtigten und seiner hilflosen Frau.
",False
916,"Einigen seiner weiteren Filme liegen zwar auch reale Ereignisse zugrunde (Der zerrissene Vorhang, Das Fenster zum Hof, Der Auslandskorrespondent oder Cocktail für eine Leiche), doch werden diese so weit fiktionalisiert, dass außer dem Grundmotiv kein Bezug zu der ursprünglichen Geschichte übrig bleibt.
","Einigen seiner weiteren Filme liegen zwar auch reale Ereignisse zugrunde (Der zerrissene Vorhang, Das Fenster zum Hof, Der Auslandskorrespondent oder Cocktail für eine Leiche), doch werden diese so weit fiktionalisiert, dass außer dem Grundmotiv kein Bezug zu der ursprünglichen Geschichte übrig bleibt.
","Einigen seiner weiteren Filme liegen zwar auch reale Ereignisse zugrunde (Der zerrissene Vorhang, das Fenster zum Hof, der Auslandskorrespondent oder Cocktail für eine Leiche), doch werden diese so weit fiktionalisiert, dass außer dem Grundmotiv kein Bezug zu der ursprünglichen Geschichte übrig bleibt.
",False
917,"Eine nicht verwirklichte Idee für Der unsichtbare Dritte, die der Regisseur im Interview mit Truffaut erwähnt, verdeutlicht Hitchcocks Vorstellungen davon, die Realität zu transzendieren: Er wollte zeigen, wie unter den Augen Cary Grants auf einem Fließband ein Auto zusammengebaut wird und anschließend aus dem fertiggestellten Auto eine Leiche fällt – nach realistischen Maßstäben unmöglich.
","Eine nicht verwirklichte Idee für Der unsichtbare Dritte, die der Regie im Interview mit Truffaut erwähnt, verdeutlicht Hitchcocks Vorstellungen davon, die Realität zu transzendieren: Er wollte zeigen, wie unter den Augen Cary Grants auf einem Fließband ein Auto zusammengebaut wird und anschließend aus dem fertiggestellten Auto eine Leiche fällt – nach realistischen Maßstäben unmöglich.
","Eine nicht verwirklichte Idee für Der unsichtbare Dritte, die der Regie im Interview mit Truffaut erwähnt, verdeutlicht Hitchcocks Vorstellungen davon, die Realität zu transzendieren: Er wollte zeigen, wie unter den Augen Cary Grants auf einem Fließband ein Auto zusammengebaut wird und anschließend aus dem fertiggestellten Auto eine Leiche fällt – nach realistischen Maßstäben unmöglich.
",True
918,"Doch Hitchcocks Begründung für das Verwerfen der Idee zeigt, dass er sich in solchen Fragen nicht an der Wahrscheinlichkeit orientierte: „Wir haben die Idee in der Geschichte nicht richtig unterbringen können, und selbst eine willkürliche Szene kann man nicht ohne Motiv ausführen.“
","Doch Hitchcocks Begründung für das Verwerfen der Idee zeigt, dass er sich in solchen Fragen nicht an der Wahrscheinlichkeit orientierte: „Wir haben die Idee in der Geschichte nicht richtig unterbringen können, und selbst eine willkürliche Szene kann man nicht ohne Motiv ausführen.“
","Doch Hitchcocks Begründung für das Verwerfen der Idee zeigt, dass er sich in solchen Fragen nicht an der Wahrscheinlichkeit orientierte: „Wir haben die Idee in der Geschichte nicht richtig unterbringen können, und selbst eine willkürliche Szene kann man nicht ohne Motiv ausführen.“
",False
919,"Den Vorwurf, Gesetze der Plausibilität zu missachten, nahm er bewusst in Kauf: „Wenn man alles analysieren wollte und alles nach Erwägungen der Glaubwürdigkeit und Wahrscheinlichkeit konstruieren, dann würde keine Spielfilmhandlung dieser Analyse standhalten, und es bliebe einem nur noch eines übrig: Dokumentarfilme zu drehen.“
","Den Vorwurf, Gesetze der Plausibilität zu missachten, nahm er bewusst in Kauf: „Wenn man alles analysieren wollte und alles nach Erwägungen der Glaubwürdigkeit und Wahrscheinlichkeit konstruieren, dann würde keine Spielfilmhandlung dieser Analyse standhalten, und es bliebe einem nur noch eines übrig: Dokumentarfilme zu drehen.“
","Den Vorwurf, Gesetze der Plausibilität zu missachten, nahm er bewusst in Kauf: „Wenn man alles analysieren wollte und alles nach Erwägungen der Glaubwürdigkeit und Wahrscheinlichkeit konstruieren, dann würde keine Spielfilmhandlung dieser Analyse standhalten, und es bliebe einem nur noch eines übrig: Dokumentarfilme zu drehen.“
",False
920,"Hitchcock vertraute darauf, dass die Zuschauer unwahrscheinliche Details akzeptieren würden, da er diese nur verwendete, um die Handlung zu dramatisieren, voranzutreiben oder zu straffen.
","Hitchcock vertraute darauf, dass die Zuschauer unwahrscheinliche Details akzeptieren würden, da er diese nur verwendete, um die Handlung zu dramatisieren, voranzutreiben oder zu straffen.
","Hitchcock vertraute darauf, dass die Zuschauer unwahrscheinliche Details akzeptieren würden, da er diese nur verwendete, um die Handlung zu dramatisieren, voranzutreiben oder zu straffen.
",False
921,"Für bewusste Irritation sorgte auch Hitchcocks Spiel mit filmtypischen Klischees.
","Für bewusste Irritation sorgte auch Hitchcocks Spiel mit filmtypischen Klischees.
","Für bewusste Irritation sorgte auch Hitchcocks Spiel mit filmtypischen Klischees.
",False
922,"So vermied er es insbesondere bei den Nebenrollen, Schauspieler nach festgelegtem Typ zu besetzen.
","So vermied er es insbesondere bei den Nebenrollen, Schauspieler nach festgelegtem Typ zu besetzen.
","So vermied er es insbesondere bei den Nebenrollen, Schauspieler nach festgelegtem Typ zu besetzen.
",False
923,"Auch bei der Wahl seiner Spielorte entzog sich Hitchcock den Genre-Gesetzen.
","Auch bei der Wahl seiner Spielorte entzog sich Hitchcock den Genre-Gesetzen.
","Auch bei der Wahl seiner Spielorte entzog sich Hitchcock den Genre-Gesetzen.
",False
924,"So ließ er Verbrechen und bedrohliche Szenen häufig nicht in unheimlichen, dunklen Räumen stattfinden, sondern bei hellem Tageslicht und an scheinbar harmlosen Orten wie einem mit Menschen übersäten Marktplatz (Der Mann, der zuviel wußte   und Der Auslandskorrespondent), in einer menschenleeren Landschaft, auf einer öffentlichen Versteigerung und in einer Hotelhalle (Der unsichtbare Dritte), auf einer idyllischen Bergstraße (Über den Dächern von Nizza), auf einer Party (Berüchtigt und Jung und unschuldig) in einer voll besetzten Konzerthalle (beide Der Mann, der zuviel wußte) oder in einem mit lauter freundlichen Menschen besetzten Eisenbahnzug (Eine Dame verschwindet).
","So ließ er Verbrechen und bedrohliche Szenen häufig nicht in unheimlichen, dunklen Räumen stattfinden, sondern bei hellem Tageslicht und an scheinbar harmlosen Orten wie einem mit Menschen übersäten Marktplatz (Der Mann, der zuviel wußte   und Der Auslandskorrespondent), in einer menschenleeren Landschaft, auf einer öffentlichen Versteigerung und in einer Hotelhalle (Der unsichtbare Dritte), auf einer idyllischen Bergstraße (Über den Dächern von Nizza), auf einer Party (Berüchtigt und Jung und unschuldig) in einer voll besetzten Konzerthalle (beide Der Mann, der zuviel wußte) oder in einem mit lauter freundlichen Menschen besetzten Eisenbahnzug (Eine Dame verschwindet).
","So ließ er Verbrechen und bedrohliche Szenen häufig nicht in unheimlichen, dunklen Räumen stattfinden, sondern bei hellem Tageslicht und an scheinbar harmlosen Orten wie einem mit Menschen übersäten Marktplatz (Der Mann, der zu viel wusste und der Auslandskorrespondent), in einer menschenleeren Landschaft, auf einer öffentlichen Versteigerung und in einer Hotelhalle (Der unsichtbare Dritte), auf einer idyllischen Bergstraße (Über den Dächern von Nizza), auf einer Party (Berüchtigt und jung und unschuldig) in einer voll besetzten Konzerthalle (beide der Mann, der zu viel wusste) oder in einem mit lauter freundlichen Menschen besetzten Eisenbahnzug (Eine Dame verschwindet).
",False
925,"Bei der üblichen Form von Suspense ist es unerlässlich, dass das Publikum über die Einzelheiten, die eine Rolle spielen, vollständig informiert ist.
","Bei der üblichen Form von Suspense ist es unerlässlich, dass das Publikum über die Einzelheiten, die eine Rolle spielen, vollständig informiert ist.
","Bei der üblichen Form von Suspense ist es unerlässlich, dass das Publikum über die Einzelheiten, die eine Rolle spielen, vollständig informiert ist.
",False
926,"Sonst gibt es keinen Suspense
","Sonst gibt es keinen Suspense
","Sonst gibt es keinen Suspense
",False
927,"Die klassische, auf das Überraschungsmoment aufbauende Form des Kriminalfilms ist der Whodunit.
","Die klassische, auf das Überraschungsmoment aufbauende Form des Kriminalfilms ist der Whodunit.
","Die klassische, auf das Überraschungsmoment aufbauende Form des Kriminalfilms ist der Whodunit.
",False
928,"Bis auf wenige Ausnahmen bediente sich Hitchcock jedoch einer anderen Form des Spannungsaufbaus, des sogenannten Suspense: Dem Zuschauer sind ab einem gewissen Zeitpunkt bestimmte Informationen oder Umstände bekannt, von denen die handelnden Personen nichts wissen.
","Bis auf wenige Ausnahmen bediente sich Hitchcock jedoch einer anderen Form des Spannungsaufbaus, des sogenannten Suspense: Dem Zuschauer sind ab einem gewissen Zeitpunkt bestimmte Informationen oder Umstände bekannt, von denen die handelnden Personen nichts wissen.
","Bis auf wenige Ausnahmen bediente sich Hitchcock jedoch einer anderen Form des Spannungsaufbaus, des sogenannten Suspense: Dem Zuschauer sind ab einem gewissen Zeitpunkt bestimmte Informationen oder Umstände bekannt, von denen die handelnden Personen nichts wissen.
",False
929,"Er fiebert in besonderer Weise mit den Helden, er sieht Ereignisse kommen, möchte den Figuren helfen, kann es aber nicht.
","Er fiebert in besonderer Weise mit den Helden, er sieht Ereignisse kommen, möchte den Figuren helfen, kann es aber nicht.
","Er fiebert in besonderer Weise mit den Helden, er sieht Ereignisse kommen, möchte den Figuren helfen, kann es aber nicht.
",False
930,"In einigen Filmen wird das klassische Suspense dahingehend variiert, dass handelnde Personen die Rolle des Zuschauers übernehmen.
","In einigen Filmen wird das klassische Suspense dahingehend variiert, dass handelnde Personen die Rolle des Zuschauers übernehmen.
","In einigen Filmen wird das klassische Suspense dahingehend variiert, dass handelnde Personen die Rolle des Zuschauers übernehmen.
",False
931,"Ein Beispiel von vielen: In Das Fenster zum Hof dringt Lisa in die Wohnung des verdächtigen Nachbarn ein, um nach Beweisen für einen möglichen Mord zu suchen.
","Ein Beispiel von vielen: In Das Fenster zum Hof dringt Lisa in die Wohnung des verdächtigen nebenan Wohnende ein, um nach Beweisen für einen möglichen Mord zu suchen.
","Ein Beispiel von vielen: In das Fenster zum Hof dringt Lisa in die Wohnung des verdächtigen nebenan wohnende ein, um nach Beweisen für einen möglichen Mord zu suchen.
",True
