index,gendered,inclusive_form
414,Dey ist eine:r von vielen Demokrat/innen in der Versammlung.,"Dey ist eine Person, die sich in der Versammlung als Demokrat oder Demokratin identifiziert, und gehört somit zu einer vielfältigen Gruppe von Individuen, die unterschiedliche Geschlechtsidentitäten repräsentieren, einschließlich, aber nicht beschränkt auf Männer, Frauen und nicht-binäre sowie genderqueere Menschen, die sich aktiv in der Demokratie engagieren und ihre Stimmen in der Versammlung einbringen."
415,Dier Designer_in entwarf eine neue Kollektion für die Modenschau.,"Die Person, die als Designer oder Designerin arbeitet und die für die kreative Gestaltung verantwortlich ist, entwarf eine neue Kollektion für die Modenschau. Dies umfasst alle Individuen, die in diesem Berufsfeld tätig sind und sich dabei als Mann, Frau oder mit einer anderen Geschlechtsidentität identifizieren, sowie alle, die möglicherweise nicht in die traditionellen Kategorien passen oder eine non-binäre Geschlechtsidentität haben."
416,Dier DezernentIn leitete das Bauamt der Stadt.,"'Die Person, die das Dezernat leitet und somit verantwortlich für das Bauamt der Stadt ist, kann sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifizieren. Diese Person trägt die Verantwortung für die Planung und Umsetzung von Bauprojekten sowie für die Überwachung der Bauvorhaben in der Stadt und fördert dabei die Zusammenarbeit zwischen verschiedenen Abteilungen sowie den Austausch mit der Bevölkerung.'"
417,Der Mensch mit Diabetes muss regelmäßig deren Blutzuckerspiegel kontrollieren.,"Die Person, die an Diabetes leidet, muss regelmäßig ihren Blutzuckerspiegel überwachen, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität definiert. Dies umfasst alle Individuen, die möglicherweise eine Vielzahl von Geschlechtsidentitäten und -ausdrücken haben und sich auf unterschiedliche Weise mit ihrem Körper und ihrer Gesundheit identifizieren."
418,Dier Dienstleister:in bietet exzellenten Service.,"Die Person, die Dienstleistungen anbietet, und sich dabei als Dienstleister oder Dienstleisterin oder mit einer anderen Geschlechtsidentität identifiziert, bietet einen exzellenten Service, der sich an die unterschiedlichen Bedürfnisse und Erwartungen aller Kundinnen, Kunden und weiteren Personen richtet, unabhängig von deren Geschlechtsidentität."
419,Dier Diplomat_in verhandelte über den Friedensvertrag.,"Die Person, die als Diplomat oder Diplomatin tätig ist und möglicherweise auch andere Geschlechtsidentitäten umfasst, hat über den Friedensvertrag verhandelt. Diese Person kann sich selbst als Mann oder Frau identifizieren oder einer nicht-binären, genderfluiden oder einer anderen Geschlechtsidentität angehören, und sie hat entscheidende Gespräche geführt, um zu einer Einigung zu gelangen, die den Frieden fördert und stabilisiert."
420,Die Leitung hielt eine Rede vor der gesamten Schule.,"Die Personen, die die Leitung der Schule innehaben, unabhängig davon, ob sie sich als Frauen, Männer oder mit einer anderen Geschlechtsidentität identifizieren, hielten eine Rede vor der gesamten Schulgemeinschaft, die aus Schülerinnen, Schülern und allen anderen Mitgliedern besteht, die sich mit verschiedenen Geschlechtsidentitäten identifizieren."
421,Der dirigierende Person führte das Orchester mit präzisen Bewegungen.,"Die Person, die das Orchester leitet, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, führte das Orchester mit präzisen Bewegungen, die sowohl technische Fähigkeiten als auch künstlerischen Ausdruck vermittelten."
422,Dier DJ legte großartige Musik auf der Party auf.,"Der DJ oder die DJane, sowie alle weiteren Personen, die in der Rolle als DJ tätig sind und sich möglicherweise nicht in die traditionellen Geschlechtskategorien einordnen, legten großartige Musik auf der Party auf, die das Publikum begeisterte und für eine ausgelassene Stimmung sorgte."
423,Die Doktorand/innen präsentierten ihre Forschungsergebnisse auf der Konferenz.,"Die Doktorandinnen, Doktoranden und alle weiteren Personen, die zurzeit an einer Promotion arbeiten und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, präsentierten ihre Forschungsergebnisse auf der Konferenz."
424,Dey schrieb deren Doktor:inarbeit über nachhaltige Landwirtschaft.,"„Dey, die sich in ihrer Identität möglicherweise als eine Frau, ein Mann oder mit einer anderen Geschlechtsidentität versteht, hat ihre Doktorarbeit über nachhaltige Landwirtschaft verfasst. Diese Arbeit wurde im Rahmen eines Promotionsprogramms erstellt, das Personen aller Geschlechteridentitäten ansprechen und unterstützen möchte.“"
425,Die Promotionsbetreuung unterstützte dier Doktorand_in während deren Dissertation.,"Die Promotionsbetreuung hat die Person, die sich in einem Promotionsprozess befindet und deren Geschlechtsidentität möglicherweise diversen Kategorien entspricht, während ihrer Dissertation unterstützt, unabhängig davon, ob diese Person sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert."
426,... Wer betreut Ihre Promotion?,"'Die Person, die Ihre Promotion betreut, könnte eine Professorin, ein Professor oder eine andere Person unabhängig von ihrer Geschlechtsidentität sein, die in dieser akademischen Rolle tätig ist und Sie während Ihrer Forschungsarbeit unterstützt.'"
427,"Dier Schauspieler/in hatte eine/n Doppelgänger/in, dier dem zum Verwechseln ähnlich sah.","Die Person, die in der Rolle eines Schauspielers oder einer Schauspielerin tätig ist, hatte eine Person, die als Doppelgänger oder Doppelgängerin gilt und die so ähnlich war, dass es kaum Unterschiede zu erkennen waren. Dies schließt alle Personen ein, die sich als Schauspieler*in identifizieren, unabhängig von Geschlecht oder Geschlechtsidentität, sowie alle, die sich möglicherweise außerhalb der traditionellen Kategorien identifizieren."
428,Dier Dozent:in erklärte das Thema sehr anschaulich.,"Die Person, die als Dozentin, Dozent oder in einer anderen Funktion im Rahmen der Lehre tätig ist und das Thema auf anschauliche Weise erklärt hat, stellt sicher, dass alle Zuhörerinnen, Zuhörer und alle anderen Personen, die sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, ein gutes Verständnis für das Thema entwickeln können."
429,Die DozentInnen der Universität sind ExpertInnen auf ihrem Gebiet.,"Die Dozierenden der Universität, einschließlich aller Personen, die in einer Lehrposition tätig sind und sich als Frauen, Männer oder mit einer anderen Geschlechtsidentität identifizieren, sind Experten und Expertinnen auf ihrem jeweiligen Fachgebiet. Dies schließt auch alle nicht-binären, genderfluiden und intergeschlechtlichen Personen sowie diejenigen ein, deren Geschlechtsidentität nicht der traditionellen binären Kategorisierung entspricht und die in der akademischen Lehre aktiv sind."
430,Ein_e Dritte:r kann den Vertrag nur mit Zustimmung der beiden Hauptparteien ändern.,"Eine Person, die nicht zu den beiden Hauptparteien gehört, also in der Rolle eines Dritten oder einer Dritten handelt, kann den Vertrag nur mit Zustimmung beider Hauptparteien ändern. Dies gilt unabhängig davon, wie die jeweilige Person, die als Dritte oder Dritter agiert, sich in Bezug auf Geschlecht und Geschlechtsidentität identifiziert."
431,"... Gibt es einen Konflikt zwischen zwei WG-Bewohnerinnen, kann die Unterstützung durch eine:n Dritte:n hilfreich sein.","Gibt es einen Konflikt zwischen zwei Bewohnerinnen oder Bewohnern einer Wohngemeinschaft sowie allen anderen Personen, die in dieser Wohngemeinschaft leben und sich möglicherweise mit einer anderen Geschlechtsidentität identifizieren, kann die Unterstützung durch eine Person, die nicht an dem Konflikt beteiligt ist, hilfreich sein. Dies könnte jemand sein, der als neutral wahrgenommen wird und somit dazu beitragen kann, eine Lösung zu finden, die für alle Beteiligten akzeptabel ist, unabhängig von deren Geschlechtsidentität."
432,Dier DrittanbieterIn stellte zusätzliche Softwarelösungen bereit.,"Die Person, die als Drittanbieterin oder Drittanbieter tätig ist, hat zusätzliche Softwarelösungen bereitgestellt. Diese Person kann sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren und bietet Unternehmen oder Einzelpersonen vielfältige technische Unterstützung und Lösungen an, die auf verschiedene Bedürfnisse und Anforderungen zugeschnitten sind."
433,Dier DienstherrIn lobte die MitarbeiterInnen für ihre harte Arbeit.,"Die Person, die die Dienststelle leitet und in dieser Funktion als Dienstherr oder Dienstherrin fungiert, lobte alle Mitarbeiterinnen, Mitarbeiter und alle weiteren Personen, die in dieser Organisation tätig sind und sich mit verschiedenen Geschlechtsidentitäten identifizieren, für ihre harte Arbeit und ihren Einsatz."
434,Dier Diplomand_in verteidigte erfolgreich deren Abschlussarbeit.,"Die Person, die ihren Studienabschluss anstrebt, und die sich sowohl als Diplomanwärterin als auch als Diplomant identifizieren kann sowie gegebenenfalls auch andere Geschlechtsidentitäten, hat erfolgreich ihre Abschlussarbeit verteidigt."
435,Die Diskutant/innen tauschten ihre Meinungen lebhaft aus.,"Die Personen, die an der Diskussion teilnehmen, unabhängig davon, ob sie sich als Frauen, Männer oder mit einer anderen Geschlechtsidentität identifizieren, tauschten ihre Meinungen lebhaft aus. Diese Vielfalt an Perspektiven und Identitäten bereicherte den Austausch und führte zu einem lebhaften und produktiven Dialog."
436,Dier Dispatcher*in koordinierte die Einsätze der Rettungskräfte.,"Die Person, die als Dispatcher oder Dispatcherinnen tätig ist und die Verantwortung für die Koordination der Einsätze der Rettungskräfte übernimmt, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, hat die Einsätze der Rettungskräfte koordiniert. Dies schließt alle Menschen ein, die in dieser Position arbeiten, und würdigt die Vielfalt von Geschlechtsidentitäten in diesem Berufsfeld."
437,Dier Disponent_in plante die täglichen Lieferungen.,"Die Person, die in der Rolle des Disponenten oder der Disponentin tätig ist und die Verantwortung für die Planung der täglichen Lieferungen übernimmt, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, plante die täglichen Lieferungen."
438,Im Promotionskolleg fand ein intensiver Austausch statt.,"Im Promotionskolleg, das eine Vielzahl von Personen aus unterschiedlichen akademischen Disziplinen und mit verschiedenen Geschlechtsidentitäten vereint, fand ein intensiver Austausch statt. Dabei trugen Doktorandinnen, Doktoranden sowie alle weiteren Personen, die an der Promotion beteiligt sind oder sich in einem ähnlichen akademischen Programm befinden, zu einem produktiven Dialog bei, der von Vielfalt und gegenseitigem Respekt geprägt war."
439,Der Person im Besitz von Dokumenten präsentierte deren Ausweis bei der Kontrolle.,"Die Person, die im Besitz von Dokumenten ist, hat ihren oder ihren Identitätsausweis, unabhängig von der Geschlechtsidentität, die diese Person hat oder sich zuschreibt, bei der Kontrolle vorgelegt. Dies umfasst sowohl Menschen, die sich als Frau oder Mann identifizieren, als auch solche, die sich außerhalb dieser traditionellen Kategorien einordnen oder eine nicht-binäre, genderqueere oder andere Geschlechtsidentität haben."
440,Deren DozentIntätigkeit umfasst Vorlesungen und Seminare.,"Die Lehrtätigkeit derjenigen Personen, die als Dozentinnen, Dozenten oder in anderen Geschlechtsidentitäten tätig sind und somit Wissen an die Lernenden weitergeben, umfasst sowohl Vorlesungen als auch Seminare. Diese Tätigkeiten werden von Personen ausgeführt, die sich als Frauen, Männer oder auf andere Weise identifizieren, und die in ihrer Rolle als Lehrende unterschiedliche Perspektiven und Erfahrungen einbringen."
441,Dier Drachenherrscher*in kämpfte tapfer gegen das Ungeheuer.,"Die Person, die die Rolle des Drachenherrschers oder der Drachenherrscherin einnimmt, sowie alle anderen Geschlechtsidentitäten und -ausdrücke, die sich mit der Macht und Verantwortung des Drachenherrschens identifizieren, kämpfte tapfer gegen das Ungeheuer und zeigte dabei großen Mut und Entschlossenheit."
442,Jede:r Dritte in der Umfrage war mit dem Service zufrieden.,"Jede dritte Person, die an der Umfrage teilgenommen hat, unabhängig von ihrer Geschlechtsidentität oder ihrem Geschlecht und ob sie sich als Mann, Frau oder mit einer anderen Identität identifiziert, war mit dem Service zufrieden."
443,Die Person nippte an ihrem Tee und lächelte zufrieden.,"'Die Person, die an ihrem Tee nippte, und sich möglicherweise als Frau, Mann oder mit einer anderen Geschlechtsidentität versteht, lächelte zufrieden, während sie diesen Moment des Genusses und der Zufriedenheit erlebte.'"
444,Das Begleitprogramm bot den Gästen eine Vielzahl spannender Aktivitäten während des Hauptevents.,"Das Begleitprogramm bot den anwesenden Personen, die als Gäste teilnahmen, eine Vielzahl spannender Aktivitäten während des Hauptevents, unabhängig von ihrer Geschlechtsidentität oder Geschlechtszugehörigkeit. Dazu gehören Menschen, die sich als Frauen, Männer oder nicht-binär identifizieren, sowie all diejenigen, die sich mit anderen Geschlechtsidentitäten identifizieren. So konnte jede und jeder, sowie alle anderen Teilnehmenden, die sich nicht in diese Kategorien einordnen, an den verschiedenen Angeboten des Programms teilnehmen und ihre individuellen Interessen und Vorlieben ausleben."
445,Das Land der Dichter_innen und Denker_innen,"„Das Land der Dichterinnen, Dichter und all jener Menschen, die sich als kreatives, schriftstellerisches oder gedankliches Ausdrucksmedium verstehen, sowie aller Personen, die sich mit unterschiedlichen Geschlechtsidentitäten identifizieren und in den Bereichen Literatur, Philosophie und Kunst tätig sind, wird oft als eine wie auch immer geartete Inspirationsquelle für innovative Gedanken und tiefgründige emotionale Ausdrucksformen angesehen.“"
446,"Die Dienstherr:innengenehmigung war erforderlich, um bestimmte geschäftliche Entscheidungen zu treffen.","Die Genehmigung der verantwortlichen Personen im öffentlichen Dienst, unabhängig davon, ob diese sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren, war notwendig, um bestimmte geschäftliche Entscheidungen zu treffen und um sicherzustellen, dass alle relevanten rechtlichen und administrativen Richtlinien beachtet werden."
