gendered,male,female,enhanced,index
Das Ärzt:inzeugnis muss bei der Arbeit eingereicht werden.,Das Arztzeugnis muss bei der Arbeit eingereicht werden.,Das Ärztinzeugnis muss bei der Arbeit eingereicht werden.,"Das ärztliche Zeugnis, das von einer Person ausgestellt wird, die den Beruf der Ärztin, des Arztes oder einer anderen geschlechtlichen Identität in der medizinischen Praxis ausübt, muss bei der Arbeit eingereicht werden, unabhängig davon, ob die behandelnde Person weiblich, männlich oder nicht-binär ist.",170
Im Ärzt*inzimmer warteten schon die nächsten Patient*innen.,Im Arztzimmer warteten schon die nächsten Patienten.,Im Ärztinzimmer warteten schon die nächsten Patientinnen.,"Im Behandlungszimmer der Ärztinnen, Ärzte und Personen mit anderen geschlechtlichen Identitäten, die in der medizinischen Praxis tätig sind, warteten bereits die nächsten Patientinnen, Patienten und weitere Personen, die sich je nach Geschlechtsidentität selbst definieren.",171
Die asketisch lebende Person lebte ein einfaches und zurückgezogenes Leben.,Der Asket lebte ein einfaches und zurückgezogenes Leben.,Die Asketin lebte ein einfaches und zurückgezogenes Leben.,"Die Person, die asketisch lebt und sich dafür entschieden hat, ein einfaches sowie zurückgezogenes Leben zu führen, lebt unabhängig von Geschlecht oder Geschlechtsidentität in einer Weise, die auf Verzicht, Minimalismus und innerer Ruhe fokussiert ist. Diese Person könnte sich als Frau, Mann oder als eine Person mit einer anderen geschlechtlichen Identität identifizieren und strebt danach, materielle Güter und gesellschaftliche Erwartungen zu reduzieren, um sich auf persönliche, spirituelle oder philosophische Ziele zu konzentrieren.",172
Nach dem Studium wurde dey AssessorIn im öffentlichen Dienst.,Nach dem Studium wurde er Assessor im öffentlichen Dienst.,Nach dem Studium wurde sie Assessorin im öffentlichen Dienst.,"Nach dem Abschluss des Studiums wurde die Person, die als Assessorin, Assessor oder in anderer geschlechtlicher Identität tätig ist, im öffentlichen Dienst angestellt.",173
Die AssessorInnen bereiteten sich auf die mündliche Prüfung vor.,Die Assessoren bereiteten sich auf die mündliche Prüfung vor.,Die Assessor:innen bereiteten sich auf die mündliche Prüfung vor.,"Die Assessorinnen, Assessoren und Personen mit anderen geschlechtlichen Identitäten, die in der Position eines Assessors oder einer Assessorin sind, bereiteten sich auf die mündliche Prüfung vor, um ihre Kompetenzen und Kenntnisse aufzuzeigen und die Prüflinge bestmöglich zu unterstützen.",174
Die Ausbilder_ineignung ist Voraussetzung für die Betreuung von Lehrlingen.,Die Ausbildereignung ist Voraussetzung für die Betreuung von Lehrlingen.,Die Ausbilderineignung ist Voraussetzung für die Betreuung von Lehrlingen.,"Die Eignung als Ausbilderin oder Ausbilder ist eine grundlegende Voraussetzung für die Betreuung von Lehrlingen, einschließlich aller Personen, die sich mit anderen geschlechtlichen Identitäten identifizieren und in der Position sind, Ausbildungsinhalte zu vermitteln und Lehrlinge anzuleiten, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität.",175
Dier Ausbildungsbewerber/in überzeugte im Vorstellungsgespräch.,Der Ausbildungsbewerber überzeugte im Vorstellungsgespräch.,Die Ausbildungsbewerberin überzeugte im Vorstellungsgespräch.,"Die Person, die sich um einen Ausbildungsplatz beworben hat, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität, konnte im Vorstellungsgespräch durch ihre Fähigkeiten und Qualifikationen überzeugen.",176
Die Außendienstmitarbeiter:innen besuchten Kund:innen vor Ort.,Die Außendienstmitarbeiter besuchten Kunden vor Ort.,Die Außendienstmitarbeiterinnen besuchten Kundinnen vor Ort.,"Die Außendienstmitarbeiter, Außendienstmitarbeiterinnen und Personen anderer geschlechtlicher Identität, die im Außendienst tätig sind, besuchten Kundinnen, Kunden und weitere Personen, die ihre Produkte oder Dienstleistungen in Anspruch nehmen, vor Ort.",177
Die Aussteller/inliste der Messe war lang und vielfältig.,Die Ausstellerliste der Messe war lang und vielfältig.,Die Ausstellerinliste der Messe war lang und vielfältig.,"Die Liste der Ausstellerinnen, Aussteller und Personen mit anderen geschlechtlichen Identitäten, die auf der Messe vertreten waren, war lang und vielfältig, und umfasste eine breite Palette an verschiedenen Unternehmen und Organisationen, die ihre Produkte und Dienstleistungen präsentieren.",178
Die Ausweis inhabende Person muss deren Dokument bei Kontrollen vorzeigen.,Der Ausweisinhaber muss sein Dokument bei Kontrollen vorzeigen.,Die Ausweisinhaberin muss ihr Dokument bei Kontrollen vorzeigen.,"Die Person, die einen Ausweis oder ein ähnliches Identitätsdokument besitzt, unabhängig von deren Geschlechtsidentität, muss dieses Dokument bei Kontrollen vorzeigen, egal ob es sich um eine Frau, einen Mann oder eine Person mit einer anderen geschlechtlichen Identität handelt.",179
Mechanisches Engineering hat eine hohe AbbrecherInquote,Mechanisches Engineering hat eine hohe Abbrecherquote,Mechanisches Engineering hat eine hohe Abbrecherinquote,"Mechanisches Engineering weist eine hohe Abbrecherquote auf, die sowohl Studierende als auch Lehrende betrifft, unabhängig von deren Geschlechtsidentität. Dazu gehören Frauen, Männer und Personen, die sich als nicht-binär, genderqueer oder auf andere Weise identifizieren. Diese Herausforderung betrifft alle, die in diesem Bereich studieren oder unterrichten, und wirft wichtige Fragen zu Unterstützungssystemen und der studiennahen Begleitung auf.",180
Ich bin ein Abkömmling von König_in Sheeba,Ich bin ein Abkömmling von Königin Sheeba,Ich bin ein Abkömmling von Königin Sheeba,"Ich bin eine Nachfahrin, ein Nachfahre oder eine Person mit einer anderen geschlechtlichen Identität von König_in Sheeba, unabhängig davon, ob ich mich als Frau, Mann oder in einer anderen geschlechtlichen Identität identifiziere.",181
Es ist Pflicht ein AbsolventInpraktikum zu machen,Es ist Pflicht ein Absolventenpraktikum zu machen,Es ist Pflicht ein Absolventinpraktikum zu machen,"Es ist verpflichtend, ein Praktikum zu absolvieren, das von Absolventinnen, Absolventen und Personen anderer geschlechtlicher Identität durchgeführt wird, die ihr Studium erfolgreich abgeschlossen haben, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",182
Heute haben wir ein Absolvent/innenvorsprechen [Schauspielschule],Heute haben wir ein Absolventenvorsprechen [Schauspielschule],Heute haben wir ein Absolventinnenvorsprechen [Schauspielschule],"Heute haben wir ein Vorsprechen für die Absolventinnen, Absolventen und Personen anderer geschlechtlicher Identitäten, die die Schauspielschule abgeschlossen haben, um ihre schauspielerischen Fähigkeiten zu präsentieren.",183
Morgen findet das Abteilungsleiter/intreffen statt,Morgen findet das Abteilungsleitertreffen statt,Morgen findet das Abteilungsleiterintreffen statt,"Morgen findet das Treffen der Abteilungsleiterinnen, Abteilungsleiter und Personen anderer geschlechtlicher Identität, die in der Funktion einer Abteilungsleitung tätig sind, statt.",184
Alltagshelfer:in,Alltagshelfer,Alltagshelferin,"Alltagshelferinnen, Alltagshelfer, sowie Personen mit anderen geschlechtlichen Identitäten, die im Rahmen ihrer Tätigkeit dabei unterstützen, den Alltag von Menschen zu erleichtern, sind in dieser Rolle tätig.",185
Die Alp:inisten erklimmen die Gipfel mit Leidenschaft.,Die Alpinisten erklimmen die Gipfel mit Leidenschaft.,Die Alpinisten erklimmen die Gipfel mit Leidenschaft.,"Die Alpinistinnen, Alpinisten und Personen anderer geschlechtlicher Identität, die sich mit dem Bergsteigen und der Besteigung von Gipfeln beschäftigen, erklimmen die Gipfel mit großer Leidenschaft und Hingabe, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",186
Dier Älpler_in sorgt für das Wohl ihrer Gäst_innen auf der Alm.,Der Älpler sorgt für das Wohl seiner Gäste auf der Alm.,Die Älplerin sorgt für das Wohl ihrer Gästinnen auf der Alm.,"Die Älplerin, der Älpler und alle weiteren Personen, die auf der Alm tätig sind und sich um das Wohlbefinden ihrer Gäste kümmern, sorgen dafür, dass sich Besucherinnen, Besucher und Personen mit anderen geschlechtlichen Identitäten während ihres Aufenthalts in der Alm wohl und gut aufgehoben fühlen.",187
Dier Altkanzler:in trägt auch nach derer Amtszeit Verantwortung.,Der Altkanzler trägt auch nach seiner Amtszeit Verantwortung.,Die Altkanzlerin trägt auch nach ihrer Amtszeit Verantwortung.,"Der ehemalige Kanzler und die ehemalige Kanzlerin sowie alle Personen, die durch ihre geschlechtliche Identität nicht in diese traditionellen Kategorien passen, tragen auch nach dem Ende ihrer Amtszeit Verantwortung, unabhängig davon, wie sie sich selbst in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",188
Dier Alumni reflektiert oft über deren vergangenen Erfahrungen.,Der Alumni reflektiert oft über sein vergangenen Erfahrungen.,Die Alumni reflektiert oft über ihre vergangenen Erfahrungen. ,"Die Alumni, also ehemalige Studierende, die an einer Bildungseinrichtung, sei es einer Universität, Hochschule oder einer anderen Bildungseinrichtung, eingeschrieben waren, reflektieren oft über ihre vergangenen Erfahrungen, unabhängig von deren Geschlechtsidentität, seien es Frauen, Männer oder Personen mit anderen geschlechtlichen Identitäten.",189
"Die Ampelfiguren helfen dabei, den Verkehr zu regeln. ","Die Ampelmännchen  helfen dabei, den Verkehr zu regeln. ","Die Ampelfiguren helfen dabei, den Verkehr zu regeln. ","Die Ampelfiguren, die in Form von unterschiedlichen Farben und Symbolen dargestellt werden, tragen dazu bei, dass der Verkehr effektiv und sicher geregelt wird. Sie unterstützen alle Verkehrsteilnehmenden, unabhängig von deren Geschlechtsidentität, einschließlich Fußgängerinnen, Fußgängern und Personen anderer geschlechtlicher Identitäten, indem sie klare Signale geben, wann es sicher ist, die Straße zu überqueren oder wann man anhalten sollte.",190
"Die zum Sprechen animierende Person ermutigt Ben, deren Gedanken zu teilen.",".Der Sprachanimateur ermutigt Bennie, seine Gedanken zu teilen. ","... Die Sprachanimateurin ermutigt Bennie, ihre Gedanken zu teilen. ","Die Person, die dazu anregt, den eigenen Standpunkt verbal auszudrücken, ermutigt Ben, seine Gedanken und Ideen mitzuteilen, unabhängig von Bens Geschlechtsidentität, sei es männlich, weiblich oder eine andere Identität, die Ben für sich selbst wählt.",191
Die Sprachanimateur/innen machten den Unterricht interaktiv und lebendig.,"Die Sprachanimateure machten den Unterricht interaktiv und lebendig.
",Die Sprachanimateurinnen machten den Unterricht interaktiv und lebendig.,"Die Sprachanimateurinnen, Sprachanimateure und Personen mit anderen geschlechtlichen Identitäten, die die Rolle der Sprachanimation übernehmen, sorgten dafür, dass der Unterricht interaktiv und lebendig gestaltet wurde, sodass alle Teilnehmenden, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität, aktiv eingebunden werden konnten.",192
"... Die Stimmungsanimateur_in verbreitet gute Laune, egal wo dey ist. ","... Der Stimmungsanimateur verbreitet gute Laune, egal wo er ist. ","... Die Stimmungsanimateurin verbreitet gute Laune, egal wo sie ist. ","Die Stimmungsanimatoren, Stimmungsanimatorinnen und Personen mit anderen geschlechtlichen Identitäten, die als Stimmungsanimateur:innen tätig sind, verbreiten gute Laune und Freude, ganz gleich, wo sie sich befinden.",193
Es handelt sich bei XY um dien Aspirant*in für das Beamt*innenverhältnis.,Es handelt sich bei XY um den Aspiranten für das Beamtenverhältnis.,Es handelt sich bei XY um die Aspirantin für das Beamtinnenverhältnis.,"Es handelt sich bei XY um eine Person, die sich um ein Beamt*innenverhältnis bewirbt, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität.",194
Die alleinerziehende Person arbeitete in Teilzeit.,Der Alleinerziehende arbeitete in Teilzeit.,Die Alleinerziehende arbeitete in Teilzeit.,"Die alleinerziehende Person, unabhängig von ihrer geschlechtlichen Identität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität, arbeitete in einem Teilzeitmodell, um berufliche Verpflichtungen mit der Verantwortung für die Erziehung ihres Kindes oder ihrer Kinder in Einklang zu bringen.",195
Die Ehrenamtlichen engagieren sich aktiv in der Gemeindearbeit.,Die Ehrenamtlichen engagieren sich aktiv in der Gemeindearbeit.,Die Ehrenamtlichen engagieren sich aktiv in der Gemeindearbeit.,"Die Personen, die sich ehrenamtlich engagieren, unabhängig von ihrer Geschlechtsidentität, sei es als Frau, Mann oder als Person mit einer anderen geschlechtlichen Identität, setzen sich mit viel Engagement und Hingabe aktiv in der Gemeindearbeit ein.",196
"Ich habe jahre lang als Babysitter_in gearbeitet, um mir etwas extra Taschengeld zu verdienen. Die Kinder haben mich immer Tonkel genannt.","Ich habe jahre lang als Babysitter gearbeitet, um mir etwas extra Taschengeld zu verdienen. Die Kinder haben mich immer Tonkel genannt.","Ich habe jahre lang als Babysitterin gearbeitet, um mir etwas extra Taschengeld zu verdienen. Die Kinder haben mich immer Tonkel genannt.","Ich habe über mehrere Jahre hinweg als Babysitterin, Babysitter und in ähnlichen Positionen gearbeitet, um mir zusätzliches Taschengeld zu verdienen. Die Kinder, die ich betreut habe, haben mich immer liebevoll „Onkel“ genannt, wobei ich die Bezeichnung als eine Form von Zuneigung und Vertrautheit schätze, unabhängig von den unterschiedlichen Geschlechtsidentitäten, die ich oder die Kinder haben könnten.",197
Die Person ist Bachelor of Arts in Geschichte.,Er ist Bachelor of Arts in Geschichte.,Sie ist Bachelor of Arts in Geschichte.,"Die Person hat einen akademischen Grad als Bachelor of Arts im Fachbereich Geschichte erworben, unabhängig von ihrer geschlechtlichen Identität, sei es als Frau, Mann oder nicht-binäre, intersexuelle oder anders identifizierte Person.",198
Dier Bäcker:in stellt köstliches Gebäck her.,Der Bäcker stellt köstliches Gebäck her.,Die Bäckerin stellt köstliches Gebäck her.,"Die Bäckerinnen, Bäcker und Personen mit anderen geschlechtlichen Identitäten, die in der Bäckerei tätig sind, stellen köstliche Backwaren her, die sowohl traditionelle als auch moderne Rezepte umfassen und die eine Vielzahl von Geschmäckern und Vorlieben ansprechen.",199
Die Bankkaufperson arbeitet im Finanzsektor.,Der Bankkaufmann arbeitet im Finanzsektor.,Die Bankkauffrau arbeitet im Finanzsektor.,"Die Person, die den Beruf der Bankkauffrau oder des Bankkaufmanns ausübt, sowie alle anderen Personen, die in dieser Funktion tätig sind und sich möglicherweise nicht in das binäre Geschlechterschema einordnen, arbeitet im Finanzsektor.",200
Dier Bankräuber:in verübt Straftaten gegen Finanzinstitute.,Der Bankräuber verübt Straftaten gegen Finanzinstitute.,Die Bankräuberin verübt Straftaten gegen Finanzinstitute.,"Die Person, die als Bankräuberin oder Bankräuber agiert, verübt Straftaten gegen Finanzinstitute, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen geschlechtlichen Identität definiert.",201
